symbol,company_name,isin,series,exchange_primary,nse_symbol,tags,bse_symbol,bse_code,paired_nse_symbol,include_flag,yahoo_ticker_ns,yahoo_ticker_bo,priority
GLENMARK,Glenmark Pharmaceuticals Ltd.,INE935A01035,EQ,NSE,GLENMARK,NIFTY500,,,,YES,GLENMARK.NS,,1
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,INE131A01031,EQ,NSE,GMDCLTD,NIFTY500,,,,YES,GMDCLTD.NS,,1
GMRAIRPORT,GMR Airports Ltd.,INE776C01039,EQ,NSE,GMRAIRPORT,NIFTY500,,,,YES,GMRAIRPORT.NS,,1
GODFRYPHLP,Godfrey Phillips India Ltd.,INE260B01028,EQ,NSE,GODFRYPHLP,NIFTY500,,,,YES,GODFRYPHLP.NS,,1
GODIGIT,Go Digit General Insurance Ltd.,INE03JT01014,EQ,NSE,GODIGIT,NIFTY500,,,,YES,GODIGIT.NS,,1
GODREJCP,Godrej Consumer Products Ltd.,INE102D01028,EQ,NSE,GODREJCP,NIFTY500,,,,YES,GODREJCP.NS,,1
GODREJIND,Godrej Industries Ltd.,INE233A01035,EQ,NSE,GODREJIND,NIFTY500,,,,YES,GODREJIND.NS,,1
GODREJPROP,Godrej Properties Ltd.,INE484J01027,EQ,NSE,GODREJPROP,NIFTY500,,,,YES,GODREJPROP.NS,,1
GPIL,Godawari Power & Ispat Ltd.,INE177H01039,EQ,NSE,GPIL,NIFTY500,,,,YES,GPIL.NS,,1
GRANULES,Granules India Ltd.,INE101D01020,EQ,NSE,GRANULES,NIFTY500,,,,YES,GRANULES.NS,,1
GRAPHITE,Graphite India Ltd.,INE371A01025,EQ,NSE,GRAPHITE,NIFTY500,,,,YES,GRAPHITE.NS,,1
GRASIM,Grasim Industries Ltd.,INE047A01021,EQ,NSE,GRASIM,"NIFTY50, NIFTY500",,,,YES,GRASIM.NS,,1
GRAVITA,Gravita India Ltd.,INE024L01027,EQ,NSE,GRAVITA,NIFTY500,,,,YES,GRAVITA.NS,,1
